category,total_mentions,negative_mentions,pct_negative,avg_rating,neg_upvotes
Praise,7514,395,0.053,4.59,163
Crashes & Performance,308,176,0.571,2.35,269
Billing & Subscription,261,157,0.602,2.38,298
Export & Quality,186,95,0.511,2.61,103
Templates / Fonts / Content,343,62,0.181,4.01,83
Editor & Usability,174,58,0.333,3.4,90
Pro / Paywall / Watermark,194,57,0.294,3.42,104
Login & Account,173,49,0.283,3.65,79
AI Features,156,46,0.295,3.43,59
Ads,36,11,0.306,3.69,27
Customer Support,12,8,0.667,2.25,14
Feature Requests,18,2,0.111,4.0,1
