category,score,upvotes,date,quote
Crashes & Performance,1,92,2026-05-23,"March of 26, unsubbed and deleted. App is horrible. Response to Developer: I have tried EVERYTHING Canva says to do app still freezes and locks up for paid user. I refuse to pay for a sub par app, when I have found one single pay that does the same thing! But Bye Canva! I won't be back! Read the …"
Crashes & Performance,1,16,2026-05-10,difficult to use the account got messed up and is no longer usable so tried to startup another account but it will not let me register and pay for any upgrade on my account so I am stuck with the limited free subscription where on the old account I had a pro account have done everything the …
Crashes & Performance,1,8,2026-05-05,"There's no wrap text, takes too long to download a single file, when you try to select a sentence from a text box it just selects all the text instead. edit: there seems to be a bug on copying and pasting and when editing text, when I try to scroll towards the text so I can see it clearly it just …"
Billing & Subscription,1,92,2026-05-23,"March of 26, unsubbed and deleted. App is horrible. Response to Developer: I have tried EVERYTHING Canva says to do app still freezes and locks up for paid user. I refuse to pay for a sub par app, when I have found one single pay that does the same thing! But Bye Canva! I won't be back! Read the …"
Billing & Subscription,1,19,2026-04-30,"Instead of giving me helpful answers, get redirected to other places that does not have solutions to my problems, just more read work. I cancelled my Canva subscription because of problems I mentioned multiple times and not getting helpfull replies. If you're not going to email me back, I won't …"
Billing & Subscription,1,16,2026-05-10,difficult to use the account got messed up and is no longer usable so tried to startup another account but it will not let me register and pay for any upgrade on my account so I am stuck with the limited free subscription where on the old account I had a pro account have done everything the …
Export & Quality,1,8,2026-05-01,"The app is awesome but to open it is a problem now. I have network,data whatever it is I have it but still, everytime it's saying having a network issue like every other app I have is opening except Canva very annoying. on desktop its worse to download a project takes fasting and prayers. adding …"
Export & Quality,1,8,2026-05-05,"There's no wrap text, takes too long to download a single file, when you try to select a sentence from a text box it just selects all the text instead. edit: there seems to be a bug on copying and pasting and when editing text, when I try to scroll towards the text so I can see it clearly it just …"
Export & Quality,2,8,2026-04-30,I've no problem with the app besides the pro free trial and that I have a problem downloading photos. Recently I did the Canva pro free trial amd when the free trial ended it said that it canceled itself and when I checked on my Google play subscriptions it wasn't there(I did with my sim card …
Templates / Fonts / Content,2,8,2026-04-30,I've no problem with the app besides the pro free trial and that I have a problem downloading photos. Recently I did the Canva pro free trial amd when the free trial ended it said that it canceled itself and when I checked on my Google play subscriptions it wasn't there(I did with my sim card …
Templates / Fonts / Content,1,8,2026-05-03,I downloaded this to edit a video but a majority of the editing features I need are part of the premium which you have to pay for. It won't let me add music or crop a photo properly without paying for the premium and the free features I can use I already have access to on my phone's editing app …
Templates / Fonts / Content,1,7,2026-05-11,"I used to pay for this app, but I've come to realize that it is so glitched. When you save a video with text on it that you've put there, when you save the video to your phone and play it, out of nowhere the text disappears. And when you have to save a photo you've edited, it only saves half of …"
Editor & Usability,1,16,2026-05-10,difficult to use the account got messed up and is no longer usable so tried to startup another account but it will not let me register and pay for any upgrade on my account so I am stuck with the limited free subscription where on the old account I had a pro account have done everything the …
Editor & Usability,1,10,2026-04-29,"Canva feels nearly impossible to use unless you pretty much have a diploma in it. It’s definitely not user-friendly. You have to be really IT-literate just to get around the functions. And every time you try to add a bit of text, it just messes everything up—deletes things, throws everything out …"
Editor & Usability,1,8,2026-04-22,careful putting credit cards on file. I put mine on my main account. was paying monthly for the service. I created a second account under a different email. checked my card statement only to find that the6 were charging me on both accounts even though I didn't even have the card set up on the …
