week,category,negative_mentions
2026-04-20,Crashes & Performance,24
2026-04-27,Crashes & Performance,22
2026-05-04,Crashes & Performance,29
2026-05-11,Crashes & Performance,18
2026-05-18,Crashes & Performance,22
2026-05-25,Crashes & Performance,20
2026-06-01,Crashes & Performance,36
2026-06-08,Crashes & Performance,5
2026-04-20,Billing & Subscription,19
2026-04-27,Billing & Subscription,29
2026-05-04,Billing & Subscription,20
2026-05-11,Billing & Subscription,15
2026-05-18,Billing & Subscription,27
2026-05-25,Billing & Subscription,19
2026-06-01,Billing & Subscription,24
2026-06-08,Billing & Subscription,4
2026-04-20,Export & Quality,10
2026-04-27,Export & Quality,11
2026-05-04,Export & Quality,9
2026-05-11,Export & Quality,15
2026-05-18,Export & Quality,14
2026-05-25,Export & Quality,14
2026-06-01,Export & Quality,17
2026-06-08,Export & Quality,5
2026-04-20,Templates / Fonts / Content,7
2026-04-27,Templates / Fonts / Content,14
2026-05-04,Templates / Fonts / Content,11
2026-05-11,Templates / Fonts / Content,5
2026-05-18,Templates / Fonts / Content,9
2026-05-25,Templates / Fonts / Content,9
2026-06-01,Templates / Fonts / Content,7
2026-04-20,Editor & Usability,11
2026-04-27,Editor & Usability,8
2026-05-04,Editor & Usability,9
2026-05-11,Editor & Usability,7
2026-05-18,Editor & Usability,9
2026-05-25,Editor & Usability,7
2026-06-01,Editor & Usability,7
